Day,Month,Year,Country,Location/Atoll,Protection Status,Duration of protection,Site,any other metadata,Depth,Family,Species,FID,Fish size,IP/TP (parrots),Group size,Pre-flight behaviour,post-flight,Observer,Structure (CI - average of site),Fishers,pop,km reef,fishers/km,pop/km,fishers/kmmpa,pop/kmmpa
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,4.3,Acanthuridae,Ctenochaetus striatus,360,16,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,4.2,Acanthuridae,Ctenochaetus striatus,240,15,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,3.8,Acanthuridae,Ctenochaetus striatus,180,13,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,1.6,Acanthuridae,Ctenochaetus striatus,150,11,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,1.9,Acanthuridae,Ctenochaetus striatus,360,15,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,1.5,Acanthuridae,Ctenochaetus striatus,190,12,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,1.7,Acanthuridae,Ctenochaetus striatus,260,15,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,4,Acanthuridae,Ctenochaetus striatus,180,13,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,4.2,Acanthuridae,Ctenochaetus striatus,200,15,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
4,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,3.9,Acanthuridae,Ctenochaetus striatus,220,14,,,,,TM,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
5,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,7,Acanthuridae,Ctenochaetus striatus,425,12,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
6,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,6,Acanthuridae,Ctenochaetus striatus,190,11,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
7,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,6.5,Acanthuridae,Ctenochaetus striatus,350,11,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
8,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,7,Acanthuridae,Ctenochaetus striatus,320,12,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
9,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,7,Acanthuridae,Ctenochaetus striatus,320,12,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
10,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,7,Acanthuridae,Ctenochaetus striatus,320,12,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
11,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,7,Acanthuridae,Ctenochaetus striatus,320,12,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
12,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,6,Acanthuridae,Ctenochaetus striatus,220,12,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
13,5,2009,PNG,Ahus Island,Fished,1,Ahus Fished,,5,Acanthuridae,Ctenochaetus striatus,240,11,,,,,DF,1.46,299,692,9.7,30.82474227,71.34020619,34.17142857,79.08571429
