Date,Village,Area,Pre/post harvest,Family,Genus,Species,binomial,size,Life-history stage (scaridae only),Group size,pre-flight behaviour,flight direction,Depth,FID,Speargun
15/12/2011,Community 1,MPA,Pre,Chaetodontidae,Chaetodon,vagabundus,Chaetodon vagabundus,12,,1,,a,3.8,170,0
15/12/2011,Community 1,MPA,Pre,Chaetodontidae,Forcipiger,flavissimus,Forcipiger flavissimus,13,,2,,a,7.5,280,0
15/12/2011,Community 1,MPA,Pre,Chaetodontidae,Chaetodon,ornatissimus,Chaetodon ornatissimus,12,,1,,p,3.5,175,0
15/12/2011,Community 1,MPA,Pre,Chaetodontidae,Forcipiger,flavissimus,Forcipiger flavissimus,13,,1,,p,4.6,145,0
15/12/2011,Community 1,MPA,Pre,Scaridae,Chlorurus,japanensis,Chlorurus japanensis,28,t,1,,a,3.2,295,0
15/12/2011,Community 1,MPA,Pre,Chaetodontidae,Chaetodon,plebius,Chaetodon plebius,12,,2,,a,4.1,185,0
15/12/2011,Community 1,MPA,Pre,Chaetodontidae,Chaetodon,rafflesi,Chaetodon rafflesi,10,,2,,a,4.2,265,0
15/12/2011,Community 1,MPA,Pre,Chaetodontidae,Chaetodon,ornatissimus,Chaetodon ornatissimus,12,,2,,p,4.5,130,0
15/12/2011,Community 1,MPA,Pre,Chaetodontidae,Forcipiger,flavissimus,Forcipiger flavissimus,13,,1,,p,6.3,145,0
15/12/2011,Community 1,MPA,Pre,Scaridae,Chlorurus,sordidus,Chlorurus sordidus,23,t,1,,p,4.1,335,0
15/12/2011,Community 1,MPA,Pre,Chaetodontidae,Chaetodon,vagabundus,Chaetodon vagabundus,12,,2,,p,5.5,205,0
15/12/2011,Community 1,MPA,Pre,Chaetodontidae,Forcipiger,flavissimus,Forcipiger flavissimus,11,,1,,a,5.1,210,0
15/12/2011,Community 1,MPA,Pre,Scaridae,Scarus,oviceps,Scarus oviceps,23,i,1,,p,6.7,355,1
15/12/2011,Community 1,MPA,Pre,Scaridae,Chlorurus,sordidus,Chlorurus sordidus,21,t,1,,a,9.1,245,0
15/12/2011,Community 1,MPA,Pre,Scaridae,Chlorurus,sordidus,Chlorurus sordidus,21,t,1,,a,9.3,210,0
15/12/2011,Community 1,MPA,Pre,Scaridae,Scarus,oviceps,Scarus oviceps,24,t,1,,p,7.9,360,1
15/12/2011,Community 1,MPA,Pre,Chaetodontidae,Chaetodon,rafflesi,Chaetodon rafflesi,11,,2,,p,7.5,175,0
15/12/2011,Community 1,MPA,Pre,Chaetodontidae,Chaetodon,flavissimus,Chaetodon flavissimus,12,,2,,p,7,145,0
15/12/2011,Community 1,MPA,Pre,Scaridae,Chlorurus,sordidus,Chlorurus sordidus,25,t,1,,a,3.9,560,1
15/12/2011,Community 1,MPA,Pre,Scaridae,Chlorurus,japanensis,Chlorurus japanensis,21,i,1,,p,5.4,310,0
15/12/2011,Community 1,MPA,Pre,Scaridae,Chlorurus,sordidus,Chlorurus sordidus,22,t,1,,p,5.1,190,0
15/12/2011,Community 1,MPA,Pre,Scaridae,Scarus,fortensi,Scarus fortensi,23,t,1,,p,9.2,350,1
15/12/2011,Community 1,MPA,Pre,Scaridae,Scarus,spinus,Scarus spinus,22,t,1,,p,9.1,175,0
15/12/2011,Community 1,MPA,Pre,Scaridae,Chlorurus,sordidus,Chlorurus sordidus,21,t,1,,p,6.2,450,1
15/12/2011,Community 1,MPA,Pre,Acanthuridae,Ctenochaetus,striatus,Ctenochaetus striatus,16,,7,,a,3.3,212,0
15/12/2011,Community 1,MPA,Pre,Acanthuridae,Acanthurus,nigricans,Acanthurus nigricans,17,,1,,p,3.7,285,0
15/12/2011,Community 1,MPA,Pre,Acanthuridae,Acanthurus,nigricans,Acanthurus nigricans,18,,1,,p,3.6,320,0
15/12/2011,Community 1,MPA,Pre,Acanthuridae,Acanthurus,lineatus,Acanthurus lineatus,20,,1,,p,3.8,375,1
15/12/2011,Community 1,MPA,Pre,Acanthuridae,Naso,lituratus,Naso lituratus,22,,1,,tr,5,250,0
15/12/2011,Community 1,MPA,Pre,Acanthuridae,Acanthurus,lineatus,Acanthurus lineatus,20,,1,,p,3.4,305,0
15/12/2011,Community 1,MPA,Pre,Acanthuridae,Acanthurus,nigricans,Acanthurus nigricans,19,,3,,a,5,280,0
15/12/2011,Community 1,MPA,Pre,Acanthuridae,Acanthurus,lineatus,Acanthurus lineatus,20,,2,,p,3.5,250,0
15/12/2011,Community 1,MPA,Pre,Acanthuridae,Acanthurus,lineatus,Acanthurus lineatus,24,,1,,p,3.2,260,0
15/12/2011,Community 1,MPA,Pre,Acanthuridae,Ctenochaetus,striatus,Ctenochaetus striatus,17,,1,,tr,4.1,250,0
15/12/2011,Community 1,MPA,Pre,Acanthuridae,Ctenochaetus,striatus,Ctenochaetus striatus,18,,4,,p,4.3,360,1
15/12/2011,Community 1,MPA,Pre,Acanthuridae,Naso,lituratus,Naso lituratus,22,,1,,a,7.3,330,0
15/12/2011,Community 1,PHC,Pre,Acanthuridae,Acanthurus,nigricans,Acanthurus nigricans,20,,1,n,a,4.3,223,0
15/12/2011,Community 1,PHC,Pre,Scaridae,Chlorurus,sordidus,Chlorurus sordidus,23,t,1,ow,p,4.6,292,0
15/12/2011,Community 1,PHC,Pre,Scaridae,Scarus,niger,Scarus niger,26,t,1,w,ad,6.7,203,0
